Тканини;2013;4340;4420;4;173.6;176.8
Одяг та білизна;2013;6280;6720;7.5;471.0;504.0
Взуття;2013;5260;5854;7.5;394.5;439.05
Трикотаж;2013;3720;3682;7.5;279.0;276.15000000000003
Галантерея;2013;2410;2694;9.5;228.95000000000002;255.93
Тканини;2014;4600;4640;4;184.0;185.6
Одяг та білизна;2014;6800;7400;7.5;510.0;555.0
Взуття;2014;6000;6250;7.5;450.0;468.75
Трикотаж;2014;3800;3850;7.5;285.0;288.75
Галантерея;2014;2700;3000;9.5;256.5;285.0
Тканини;2015;4700;4625;4;188.0;185.0
Одяг та білизна;2015;6700;6630;7.5;502.5;497.25
Взуття;2015;6700;6500;7.5;502.5;487.5
Трикотаж;2015;4300;4500;7.5;322.5;337.5
Галантерея;2015;3500;3590;9.5;332.5;341.05
